paper_id,instance,target,surrogate_s,exact_s,surrogate_iterations,exact_iterations,hausdorff,igd,directed_surrogate_to_exact,diagonal,hausdorff_pct,igd_pct
1,94,Visual_Network,280.6173210144043,1204.0371730327606,11,16,7.00658405870545,2.702334282451465,0.45993992643481685,11.410892532975009,61.402594393540554,23.68205882793396
2,95,Visual_Network,105.79840588569641,471.654345035553,5,7,1.8315691399706998e-10,9.157845699853499e-11,1.8315691399706998e-10,3.134784915812896,5.8427266595920405e-09,2.9213633297960202e-09
2,95,Multiple_Demand_Extended_Network,308.7733929157257,316.2737159729004,14,4,0.023107807550459825,0.0077026025841902155,0.023107807550459825,4.111101739203397,0.562083086635978,0.18736103051739944
3,96,Visual_Network,89.94795107841492,79.45139384269714,4,1,0.021399049861045683,0.021399049861045683,0.021399049861045683,0.0,,
4,98,Visual_Network,30.424278736114502,138.43656301498413,2,2,0.017721608573822323,0.008860804286911161,0.017721608573822323,5.375285165957738,0.32968685430970596,0.16484342715485298
5,99,Visual_Network,185.21037697792053,246.86421704292297,7,3,1.2079514901236443e-10,6.039757450618222e-11,1.2079514901236443e-10,4.0848911012738665,2.9571204229825044e-09,1.4785602114912522e-09
5,99,Multiple_Demand_Extended_Network,293.8950741291046,553.1398301124573,10,6,0.27077053498976283,0.09541767066448102,0.11090014766816125,3.8757938957741582,6.9861954033466125,2.4618871186240443
6,100,Visual_Network,117.44479393959045,83.51851892471313,5,1,2.1501492804045176e-10,2.1501492804045176e-10,2.1501492804045176e-10,0.0,,
7,102,Visual_Network,64.02691912651062,79.18259692192078,3,1,1.6712644013787365e-10,1.6712644013787365e-10,1.6712644013787365e-10,0.0,,
7,102,Multiple_Demand_Extended_Network,154.233332157135,454.35465908050537,6,6,0.04071315867930991,0.020356579339654957,0.04071315867930991,0.735469351816999,5.5356703278969865,2.7678351639484933
8,103,Multiple_Demand_Extended_Network,84.15846800804138,304.67852807044983,4,4,0.03527406468225536,0.01763703242552214,0.03527406468225536,4.953122548032663,0.7121581253075578,0.3560790643576427
9,104,Visual_Network,51.53651285171509,70.20867419242859,3,1,1.5620633623602454e-10,1.5620633623602454e-10,1.5620633623602454e-10,0.0,,
10,107,Visual_Network,211.3822910785675,1001.053530216217,9,10,0.41072176339488736,0.19267777850702772,0.2156876305263169,6.309063296912759,6.510027623211001,3.0539839186795215
11,108,Visual_Network,224.79913115501404,71.1789801120758,9,1,1.1282083567841654e-10,1.1279932616636642e-10,1.1282083567841654e-10,3.7717873878363783,2.9911769693660884e-09,2.990606695651311e-09
11,108,Multiple_Demand_Extended_Network,33.81384611129761,70.11314797401428,2,1,1.1283100237481893e-10,1.1283100237481893e-10,1.1283100237481893e-10,0.0,,
12,110,Visual_Network,38.34698009490967,521.6680309772491,2,8,0.1130088543366412,0.08179928211931298,0.1130088543366412,3.1511006923196465,3.5863295200970247,2.595895533223896
12,110,Multiple_Demand_Extended_Network,175.86528491973877,387.6749110221863,7,4,1.2362116939591977e-10,6.181058469795988e-11,1.2362116939591977e-10,3.455635420988975,3.5773788127377277e-09,1.7886894063688639e-09
13,111,Multiple_Demand_Extended_Network,162.42974996566772,713.9494869709015,6,9,1.056616149541191,0.35599827240836834,0.0052152226026009885,1.0618287516385083,99.50909201796676,33.526900817012844
14,112,Visual_Network,31.46296715736389,223.08899903297424,2,3,0.886687076624374,0.24833051559359137,0.04389449072661478,4.927700835334738,17.993930765160613,5.039480355887358
15,113,Visual_Network,80.13879585266113,375.8070869445801,4,5,3.981382027776048,1.0060015472776977,0.03915475284414072,8.017325077547225,49.659730511938896,12.547845291879673
15,113,Multiple_Demand_Extended_Network,33.31381011009216,69.81827592849731,2,1,0.018833931661859538,0.018833931661859538,0.018833931661859538,0.0,,
16,114,Multiple_Demand_Extended_Network,113.39709401130676,67.83914709091187,6,1,1.8983457387834812e-10,1.8983457387834812e-10,1.8983457387834812e-10,0.0,,
17,115,Visual_Network,164.9489779472351,1179.3360800743103,6,17,0.5974243166647,0.0504673499909791,0.5974243166647,5.023585839652533,11.892387942275553,1.004608094732383
18,116,Visual_Network,307.7249071598053,582.9029560089111,11,8,0.03343789692466714,0.012749701753383155,0.03343789692466714,7.147279985922386,0.4678408708001922,0.178385368678652
18,116,Multiple_Demand_Extended_Network,443.55550813674927,1068.7869589328766,14,14,0.4234112129780111,0.2026307981053504,0.24420102387658515,3.793572060999077,11.161280349225825,5.341424779788826
19,117,Multiple_Demand_Extended_Network,666.795254945755,2108.074277162552,20,25,1.1066339055730037,0.2378968613308099,0.01391449542560963,12.063545547008575,9.17337196813932,1.972031028554468
20,118,Visual_Network,276.69839000701904,1289.9200999736786,10,12,3.2005446667414263,0.6817345906253023,3.2005446667414263,10.820354424086373,29.578926357688765,6.300482996266226
