category,statistic,n,fully_error_pct,fully_active_pct,fully_archived_lipschitz_pct,initial_error_pct,initial_active_pct,initial_archived_lipschitz_pct
All,mean,1052,0.13109096342994758,0.9453291077831574,26077.90438216428,2.575958325136977,21.730014844523705,37228.656120735315
All,std,1052,0.3632390348147094,1.7775621253589302,12386.418146869393,2.6690124762972154,22.62439264392442,17871.588221223807
All,max,1052,3.757147650969132,15.68515339352846,41680.0517228697,19.463698238608792,100.31043247875607,59133.14098269728
ge overall,mean,526,0.08431882770213892,0.8004883010480571,33869.870184944404,4.08286212678877,39.81684681995912,48401.20148815611
ge overall,std,526,0.08822193397049677,0.8796734960850062,4441.568108259781,1.5815523741966366,16.871908457743302,6036.303084202816
ge overall,max,526,0.5032727080926451,4.877543191634592,41680.0517228697,9.675379720579192,100.31043247875607,59133.14098269728
ge Visual_Network,mean,146,0.20083664173618998,2.0624479530534203,5291.34113196319,3.067650643929256,9.693024901771407,7089.568157521914
ge Visual_Network,std,146,0.2849682346247191,3.077203828244127,4172.844934336029,4.265978250793557,14.044940490149852,5097.685481744155
ge Visual_Network,max,146,1.2630592133850016,15.68515339352846,13960.984638901535,19.463698238608792,66.69888648333321,18203.261844835823
ge Multiple_Demand_Extended_Network,mean,102,0.5290848902060571,2.1233349282770075,5502.444258520072,1.0497997476051844,4.636011070590776,6779.826216287632
ge Multiple_Demand_Extended_Network,std,102,1.0038598241483268,3.192042372193522,3552.152223139302,1.605992473258253,8.229563007379925,3134.51688384326
ge Multiple_Demand_Extended_Network,max,102,3.757147650969132,15.588491269028575,10722.207133776012,5.479393689923107,33.20351050100393,10843.715119783157
modularity overall,mean,278,0.036932308138410884,0.20047414103075253,29800.786234246025,0.026496802459733636,0.10165260532934448,43089.5504718845
modularity overall,std,278,0.04443872071467508,0.2910355068860041,4264.396634630764,0.028844927721695782,0.09456856714619295,5824.344848390887
modularity overall,max,278,0.2905884031806494,1.2588831259675957,39634.739731368674,0.1828252530342709,0.48484725553995045,50582.3876812355
