instance,radius_mm,resect_pct,objective,subnetwork,value,pct_initial,removed_nodes
168,0,32.07292482240339,ge,overall,0.6088336944186525,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,0,32.07292482240339,ge,Visual_Network,0.6738900634249472,100.00000000000001,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,0,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.627906976744186,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,0,32.07292482240339,modularity,overall,0.264011540520135,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,1,32.07292482240339,ge,overall,0.6088336944186525,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,1,32.07292482240339,ge,Visual_Network,0.6738900634249472,100.00000000000001,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,1,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.627906976744186,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,1,32.07292482240339,modularity,overall,0.264011540520135,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,2,32.07292482240339,ge,overall,0.6088336944186525,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,2,32.07292482240339,ge,Visual_Network,0.6738900634249472,100.00000000000001,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,2,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.627906976744186,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,2,32.07292482240339,modularity,overall,0.264011540520135,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,3,32.07292482240339,ge,overall,0.6088336944186525,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,3,32.07292482240339,ge,Visual_Network,0.6738900634249472,100.00000000000001,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,3,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.627906976744186,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,3,32.07292482240339,modularity,overall,0.264011540520135,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,4,32.07292482240339,ge,overall,0.6088336944186525,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
168,4,32.07292482240339,ge,Visual_Network,0.6738900634249472,100.00000000000001,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
