paper_id,instance,target,method,plan,x_pct,y_pct,removed_nodes
17,115,Visual_Network,exact,3,96.30050788466897,95.32663316582914,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29]"
17,115,Visual_Network,exact,4,96.3338077536895,95.32663316582914,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29]"
17,115,Visual_Network,exact,5,96.3547743378876,95.32663316582914,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28]"
17,115,Visual_Network,exact,6,96.72896619939961,95.32663316582914,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30]"
17,115,Visual_Network,exact,7,96.79901925719093,95.32663316582914,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29]"
17,115,Visual_Network,exact,8,96.88461225385848,95.32663316582914,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30]"
17,115,Visual_Network,exact,9,96.93937203846998,95.32663316582914,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 26, 27, 28, 29]"
17,115,Visual_Network,exact,10,96.98377186383067,95.32663316582914,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19, 20, 21, 22, 26, 27, 28, 29, 30]"
17,115,Visual_Network,exact,11,97.18653106631113,95.32663316582914,"[0, 1, 2, 3, 9, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 27, 28, 29, 30, 31]"
17,115,Visual_Network,exact,12,97.56417624757344,95.32663316582914,"[0, 1, 2, 3, 8, 9, 10, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30]"
