instance,subnetwork,surrogate_prediction,surrogate_true,exact_true,gap_pct,surrogate_construction_s,surrogate_s,exact_construction_s,exact_s,jaccard,archived_exact_objective
174,overall,0.5195745637183896,0.5266687300113483,0.5268286392241823,0.030353173864945363,118.57351493835449,24.650075912475586,407.302909,73.712311,0.92,0.5268286392228669
174,Visual_Network,0.344610029613932,0.3403805496828753,0.34055673009161375,0.05173305742366717,118.57351493835449,27.52274799346924,407.302909,38.155582,0.8214285714285714,0.3405567300916115
174,Multiple_Demand_Extended_Network,0.5877840016145747,0.5710007047216349,0.571353065539112,0.06167129201357486,118.57351493835449,19.18231201171875,407.302909,37.427601,0.7931034482758621,0.5713530655390989
175,overall,0.5338823441811207,0.5395826885381203,0.5397735479211802,0.035359158260885974,102.03928780555725,12.618492126464844,396.258048,122.969386,0.9130434782608695,0.5397735479198456
175,Visual_Network,0.43054574227247777,0.41120507399577166,0.4115574348132488,0.08561643835617434,102.03928780555725,18.124361991882324,396.258048,48.117085,0.7741935483870968,0.41155743481323886
175,Multiple_Demand_Extended_Network,0.5951452283773266,0.5731148696264975,0.5731148696264975,0.0,102.03928780555725,9.51427412033081,396.258048,49.92293,0.8333333333333334,0.5731148696264846
176,overall,0.5182366082208266,0.5245151139997937,0.5245151139997937,0.0,91.40491890907288,14.103551149368286,399.492968,112.852025,1.0,0.5245151139985186
176,Visual_Network,0.32129658468591316,0.33033826638477803,0.3309196617336152,0.17569078421976012,91.40491890907288,79.55816411972046,399.492968,86.067674,0.8857142857142857,0.3309196617336208
176,Multiple_Demand_Extended_Network,0.5885355463727737,0.5740838618745595,0.5743481324876674,0.04601226993865566,91.40491890907288,25.253007173538208,399.492968,57.356924,0.7142857142857143,0.5743481324876524
177,overall,0.5209487473551875,0.5289113277623027,0.5289113277623027,0.0,104.21401810646057,10.475152969360352,394.894248,60.626511,1.0,0.5289113277609886
177,Visual_Network,0.46242485131847544,0.4478505990133897,0.4478505990133897,0.0,104.21401810646057,6.875031232833862,394.894248,31.227765,1.0,0.4478505990133796
177,Multiple_Demand_Extended_Network,0.5507823722332658,0.529245947850599,0.529245947850599,0.0,104.21401810646057,8.46548080444336,394.894248,32.511254,0.6774193548387096,0.529245947850581
178,overall,0.5573224530144004,0.56266119880326,0.5627063344681729,0.008021175904387097,95.04517984390259,5.328986883163452,378.302436,66.899615,0.8666666666666667,0.5627063344667093
178,Visual_Network,0.40963765134302665,0.41420014094432706,0.41420014094432706,0.0,95.04517984390259,6.455126047134399,378.302436,40.272783,1.0,0.4142001409443203
178,Multiple_Demand_Extended_Network,0.6213546918136317,0.606060606060606,0.606060606060606,0.0,95.04517984390259,4.771274089813232,378.302436,41.417373,0.7619047619047619,0.606060606060597
179,overall,0.523977457009016,0.5302125245022181,0.5302666873001134,0.010214256183251384,88.10271501541138,17.254838943481445,395.878965,73.725215,0.84,0.5302666872987855
179,Visual_Network,0.4419048608991726,0.4372797744890768,0.441508104298802,0.9577015163607451,88.10271501541138,18.842672109603882,395.878965,50.483595,0.8333333333333334,0.44150810429879356
179,Multiple_Demand_Extended_Network,0.5751394821943818,0.5704721634954194,0.5704721634954194,0.0,88.10271501541138,18.429417848587036,395.878965,44.368022,0.7419354838709677,0.5704721634954059
180,overall,0.5548723502253379,0.5578948725884659,0.5578948725884659,0.0,111.6170301437378,5.826056957244873,365.944866,70.727956,1.0,0.5578948725870752
180,Visual_Network,0.4673154036358912,0.4478505990133897,0.4478505990133897,0.0,111.6170301437378,6.698465824127197,365.944866,47.506994,0.7391304347826086,0.4478505990133745
180,Multiple_Demand_Extended_Network,0.6062554149969404,0.6004228329809725,0.600599013389711,0.029334115576400303,111.6170301437378,6.876044988632202,365.944866,47.099205,0.7307692307692307,0.6005990133897013
