instance,paper experiment instance id,obj1,subnetwork1,obj2,subnetwork2,MeanExecutionTime,nbIterations,ExecutionTime,MNRPExecutionTime,MNRPMeanExecutionTime,MNRPnbIterations,hausdorff_distance,igd_distance,Diag,MNRPTolerance,TumorPct,ResectPct,Tolerance,hausdorff/diag,igd/diag,TumorSubnetwork
94.0,1.0,ge,overall,ge,Visual_Network,25.510665546764,11.0,280.617321014404,1204.03717303276,75.2523233145475,16.0,0.00344983097440377,0.00115017844436747,4.19348903861815,4.0,10.0,80.0,4.0,0.0008226636442,0.000274277203,Visual_Network
95.0,2.0,ge,overall,ge,Visual_Network,21.1596811771393,5.0,105.798405885696,471.654345035553,67.3791921479361,7.0,2.14607077582284e-10,2.04128426480271e-10,3.1347849157462,4.0,10.0,80.0,4.0,0,0,
95.0,2.0,ge,overall,ge,Multiple_Demand_Extended_Network,22.0552423511233,14.0,308.773392915726,316.2737159729,79.0684289932251,4.0,0.0231078073465341,0.00770260258775814,4.11110173918019,4.0,10.0,80.0,4.0,0.005620830817,0.001873610306,
96.0,3.0,ge,overall,ge,Visual_Network,22.4869877696037,4.0,89.9479510784149,79.4513938426971,79.4513938426971,1.0,0.0213990498610457,0.0213990498610457,0.0,4.0,10.0,80.0,4.0,,,Visual_Network
98.0,4.0,ge,overall,ge,Visual_Network,15.2121393680572,2.0,30.4242787361145,138.436563014984,69.2182815074921,2.0,0.0177216085738507,0.00590720295539106,5.37616231626088,4.0,10.0,80.0,4.0,0.003296330641,0.001098776898,Visual_Network
99.0,5.0,ge,overall,ge,Visual_Network,26.4586252825601,7.0,185.210376977921,246.864217042923,82.288072347641,3.0,1.20795149012364e-10,1.18243627662033e-10,4.08489110127273,4.0,10.0,80.0,4.0,0,0,
99.0,5.0,ge,overall,ge,Multiple_Demand_Extended_Network,29.3895074129105,10.0,293.895074129105,553.139830112457,92.1899716854095,6.0,0.11090014766819,0.0369667159671692,3.90016823668486,4.0,10.0,80.0,4.0,0.02843470869,0.009478236251,
100.0,6.0,ge,overall,ge,Visual_Network,23.4889587879181,5.0,117.44479393959,83.5185189247131,83.5185189247131,1.0,2.15043349129198e-10,2.15043349129198e-10,0.0,4.0,10.0,80.0,4.0,,,Visual_Network
102.0,7.0,ge,overall,ge,Visual_Network,21.3423063755035,3.0,64.0269191265106,79.1825969219208,79.1825969219208,1.0,1.67140650415392e-10,1.67140650415392e-10,0.0,4.0,10.0,80.0,4.0,,,
102.0,7.0,ge,overall,ge,Multiple_Demand_Extended_Network,25.7055553595225,6.0,154.233332157135,454.354659080505,75.7257765134176,6.0,0.0407131586792815,0.020356579423217,0.774899333388007,4.0,10.0,80.0,4.0,0.05253993251,0.02626996636,
103.0,8.0,ge,overall,ge,Multiple_Demand_Extended_Network,21.0396170020103,4.0,84.1584680080414,304.67852807045,76.1696320176125,4.0,0.0352740645115972,0.0176370323402002,4.95173017301476,4.0,10.0,80.0,4.0,0.007123583733,0.003561791884,Multiple_Demand_Extended_Network
