source_instance,target_instance,method,source,plan,resect_pct,overall_ge,mden_ge
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,5,69.69441243166938,0.5452813886309709,0.5399929527836504
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,6,69.69441243166938,0.5833307541524811,0.6042988019732205
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,6,69.69441243166938,0.5498529866914268,0.542107117688513
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,7,69.69441243166938,0.5837176312803053,0.6042988019732205
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,7,69.69441243166938,0.5493345713401424,0.542107117688513
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,8,69.69441243166938,0.5891906530485918,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,8,69.69441243166938,0.5541808521613535,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,9,69.69441243166938,0.5899463530382749,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,9,69.69441243166938,0.5542169606932839,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,10,69.69441243166938,0.5900830496234397,0.5778717406624383
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,10,69.69441243166938,0.5542543588156401,0.5253699788583509
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,11,69.69441243166938,0.5902197462086042,0.5778717406624383
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,11,69.69441243166938,0.5544091096667698,0.5253699788583509
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,12,69.69441243166938,0.5902610131022388,0.5602536997885835
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-69.69441243166938.json,12,69.69441243166938,0.554939131331889,0.5107470049330514
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,0,78.89800099227324,0.5606803879088001,0.6273784355179705
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,0,78.89800099227324,0.5319908696997834,0.5562015503875969
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,1,78.89800099227324,0.5609666769833901,0.6272022551092318
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,1,78.89800099227324,0.5319534715774269,0.5562015503875969
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,2,78.89800099227324,0.5611033735685547,0.6272022551092318
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,2,78.89800099227324,0.5318722273805838,0.5562015503875969
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,3,78.89800099227324,0.5617069018879604,0.6087033121916842
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,3,78.89800099227324,0.5320540596306612,0.5399929527836504
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,4,78.89800099227324,0.562003507685959,0.6087033121916842
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,4,78.89800099227324,0.5320282678221396,0.5399929527836504
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,5,78.89800099227324,0.5642293407613742,0.6042988019732205
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,5,78.89800099227324,0.5360814505313112,0.542107117688513
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,6,78.89800099227324,0.5646652223253895,0.604122621564482
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,6,78.89800099227324,0.5362490972867018,0.542107117688513
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,7,78.89800099227324,0.5649592489425359,0.6039464411557434
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,7,78.89800099227324,0.5360569483132157,0.542107117688513
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,8,78.89800099227324,0.5671567110285772,0.6039464411557434
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,8,78.89800099227324,0.5361304549675023,0.5396405919661733
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,9,78.89800099227324,0.5673527287733415,0.6039464411557434
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,9,78.89800099227324,0.5364257711750747,0.5396405919661733
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,10,78.89800099227324,0.5701614567213452,0.6039464411557434
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,10,78.89800099227324,0.5381280305375014,0.5396405919661733
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,11,78.89800099227324,0.5732590529247911,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,11,78.89800099227324,0.5425784070979058,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,12,78.89800099227324,0.5762534818941504,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,12,78.89800099227324,0.5450531311255544,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,13,78.89800099227324,0.5766429382028269,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,13,78.89800099227324,0.5445372949551223,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,14,78.89800099227324,0.5769318064582689,0.6004228329809725
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,14,78.89800099227324,0.5445708243062003,0.5408738548273432
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,15,78.89800099227324,0.5794903538636129,0.6000704721634954
168,170,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,15,78.89800099227324,0.5448493758382339,0.540169133192389
168,168,exact,MNRP-ge-overallvsge-Multiple_Demand_Extended_Network-78.89800099227324.json,16,78.89800099227324,0.5796218920870732,0.6000704721634954
