method,objective,resect_pct,evaluate_168_plan_168,evaluate_170_plan_168,evaluate_168_plan_170,evaluate_170_plan_170
exact,overall,69.69441243166938,0.5902610131022388,0.554939131331889,0.5902610131022388,0.554939131331889
exact,Multiple_Demand_Extended_Network,69.69441243166938,0.627906976744186,0.5586680761099366,0.6277307963354474,0.5586680761099366
surrogate,overall,69.69441243166938,0.5902197462086042,0.5544091096667698,0.5902610131022388,0.554939131331889
surrogate,Multiple_Demand_Extended_Network,69.69441243166938,0.6275546159267089,0.5562015503875969,0.6272022551092318,0.558491895701198
